date,week,sunrise_hour,sunrise_min,sunrise_sec,sunset_hour,sunset_min,sunset_sec,season,is_holiday,is_weekend,snow,snowdepth,temp,precip,precipprob,preciptype,windgust,winddir,solarradiation,moonphase,conditions,Offense Count
2021-10-01,Friday,7,14,56,19,6,40,Autumn,0,0,0.0,0.0,75.9,0.383,100,rain,18.3,101.0,24.1,0.85,rain,833
2013-01-10,Thursday,7,18,2,17,40,31,Winter,0,0,0.0,0.0,62.0,0.086,100,rain,17.2,249.1,151.9,0.96,rain,371
2018-03-27,Tuesday,7,16,44,19,37,13,Spring,0,0,0.0,0.0,74.3,0.012,100,rain,33.8,147.2,21.5,0.36,rain,326
2020-08-30,Sunday,6,57,51,19,45,30,Summer,0,1,0.0,0.0,85.6,0.019,100,rain,27.7,163.1,117.5,0.41,rain,695
2013-08-29,Thursday,6,57,7,19,46,58,Summer,0,0,0.0,0.0,86.3,0.0,0,none,19.5,249.8,266.7,0.78,cloudy,405
2015-12-30,Wednesday,7,16,18,17,31,42,Winter,0,0,0.0,0.0,51.9,0.002,100,rain,19.7,340.5,95.9,0.67,rain,307
2022-06-26,Sunday,6,22,57,20,25,52,Summer,0,1,0.0,0.0,87.0,0.0,0,none,23.9,198.1,142.8,0.92,clear,701
2016-04-03,Sunday,7,7,50,19,41,41,Spring,0,1,0.0,0.0,65.1,0.0,0,none,24.2,117.8,309.8,0.87,clear,318
2017-12-17,Sunday,7,10,43,17,24,52,Winter,0,1,0.0,0.0,55.9,0.0,0,none,15.0,358.1,108.3,0.98,cloudy,306
2023-03-05,Sunday,6,42,58,18,23,25,Spring,0,1,0.0,0.0,66.3,0.0,0,none,19.7,132.5,181.8,0.44,clear,697
2013-03-17,Sunday,7,28,29,19,31,18,Spring,0,1,0.0,0.0,70.3,0.0,0,none,24.2,184.3,240.4,0.19,cloudy,313
2019-08-28,Wednesday,6,56,21,19,48,39,Summer,0,0,0.0,0.0,83.3,0.37,100,rain,32.2,23.4,206.8,0.94,rain,583
2017-04-08,Saturday,7,2,18,19,44,31,Spring,0,1,0.0,0.0,70.4,0.0,0,none,28.6,168.9,307.5,0.41,clear,327
2013-11-23,Saturday,6,53,1,17,22,44,Autumn,0,1,0.0,0.0,45.6,0.429,100,rain,30.2,356.2,52.9,0.7,rain,345
2016-04-24,Sunday,6,44,56,19,54,29,Spring,0,1,0.0,0.0,69.5,0.368,100,rain,23.2,87.1,123.9,0.59,rain,332
2019-09-12,Thursday,7,4,22,19,30,46,Autumn,0,0,0.0,0.0,85.1,0.107,100,rain,17.2,80.3,221.8,0.45,rain,622
2014-01-04,Saturday,7,17,35,17,35,37,Winter,0,1,0.0,0.0,56.5,0.0,0,none,24.9,151.5,,0.11,cloudy,364
2012-05-24,Thursday,6,23,45,20,13,18,Spring,0,0,0.0,0.0,79.8,0.0,0,none,30.2,176.0,333.6,0.13,cloudy,362
2016-04-07,Thursday,7,3,10,19,44,4,Spring,0,0,0.0,0.0,72.8,0.0,0,none,20.8,234.4,276.7,0.0,clear,345
2021-10-18,Monday,7,25,18,18,47,22,Autumn,0,0,0.0,0.0,67.4,0.0,0,none,17.2,110.8,106.1,0.43,clear,663
2013-06-05,Wednesday,6,20,43,20,19,34,Summer,0,0,0.0,0.0,83.6,0.0,0,none,16.1,137.0,346.4,0.9,cloudy,397
2016-05-01,Sunday,6,38,29,19,58,55,Spring,0,1,0.0,0.0,77.5,0.017,100,rain,21.6,8.6,220.3,0.83,rain,336
